D0:B5:C2:91:2A:BA,D0:B5:C2:91:29:6D,D0:B5:C2:91:2D:E4,D0:B5:C2:91:24:E7,D0:B5:C2:91:36:BF,class
-75.27506955364703,-84.0,-65.59001754410257,-66.75985235863953,-63.84243105939224,A
-89.60529817346075,-85.75859844361113,-66.80155698142546,-64.84258699245999,-62.70468932704326,A
-82.56389452332657,-87.52423790052858,-66.18337970243135,-65.91788879154072,-59.99229869763316,A
-79.42999178572938,-84.9284685714505,-65.97555694992776,-63.86789098361671,-60.913752348852455,A
-75.87259094341437,-86.12958985840123,-62.77086827416771,-63.52901092697875,-62.43046425134508,A
-77.23369614493892,-83.71814773585359,-65.0980288507822,-66.62549391306798,-58.0,A
-72.0,-87.0,-66.4706246441424,-65.12991595430202,-64.07115663727157,A
-73.0,-84.6632860040568,-65.9107505070994,-65.079107505071,-62.32657200811359,A
-76.920892494929,-84.1683569979716,-61.0,-69.920892494929,-63.76146123140196,A
-75.0,-84.0,-58.0,-70.0,-68.0,A
-81.50507099391481,-88.0,-66.8316430020284,-75.64505463489375,-60.0,A
-72.85730828846765,-76.13076522023114,-69.89568373649017,-75.94622263740254,-56.10425907030371,A
-73.26651369301648,-78.76627905158927,-70.27587919353171,-78.0,-56.230020632706065,A
-70.61840302996028,-77.1683569979716,-69.75641999214872,-74.48029528272095,-57.288957224380496,A
-70.3367139959432,-80.09939115358252,-71.00770130236684,-76.82432159993549,-54.0,A
-68.79271721205438,-88.0,-69.78581508810129,-75.67342799188641,-55.95092939800814,A
-68.6632860040568,-81.45738235813391,-69.63610338292811,-78.11727674134663,-55.27220676585622,A
-68.0,-82.22661039429778,-70.0,-80.0,-55.1683569979716,A
-68.6632860040568,-88.0,-70.0,-80.0,-54.0,A
-68.6632860040568,-86.0,-72.0,-77.52901092697876,-61.0,A
-77.3367139959432,-75.40567951318458,-74.39881456392888,-70.3367139959432,-62.089249492900606,A
-79.19108100479819,-75.49667608671004,-74.5841784989858,-71.7525354969574,-63.45272368049675,A
-80.49492900608519,-75.0,-74.0,-69.29817346074755,-62.951699094109344,A
-81.0,-74.45917503326478,-70.0,-69.45558646828756,-62.31482601508004,A
-79.0,-77.7423935091278,-73.0,-70.1343091004395,-62.0,A
-83.0,-74.0,-72.0,-72.0,-62.0,A
-79.5841784989858,-77.6547710323871,-73.0,-68.0,-62.889909709334184,A
-79.0,-70.0,-73.0,-66.0,-64.50507099391481,A
-80.49472869283684,-74.0,-73.0,-68.1683569979716,-62.0,A
-81.74705078418638,-79.55747976733963,-73.89868679425449,-67.03004929604889,-63.0077091570106,A
-80.96758195234064,-81.73835732430145,-70.8316430020284,-61.03974621532899,-71.53623022528603,A
-77.0,-79.81129517515636,-80.23272910230705,-59.910750507099394,-73.70897219155417,A
-75.7525354969574,-77.37159791943874,-73.15821501014199,-57.0,-74.54441353171244,A
-87.0,-77.37159791943874,-74.37071204398691,-58.72840322028973,-72.73539136473083,A
-78.80246764243377,-76.0,-77.01014198782961,-59.19184673546982,-71.17399996850229,A
-83.19753235756623,-81.27964046906501,-75.0,-58.978617200898185,-73.3994833937789,A
-81.24873830833252,-80.93620470857574,-77.45558646828756,-61.82641033058502,-72.65341379809811,A
-76.0,-76.0,-76.9107505070994,-57.4158215010142,-73.80408048062579,A
-77.42351486235917,-77.1683569979716,-75.55245238665592,-59.0,-68.2474645030426,A
-76.49492900608519,-73.0,-76.14231327454314,-62.29172210797952,-66.0,A
-86.62804398753843,-80.73549453651063,-63.98985801217039,-84.65387617866958,-78.04907060199186,B
-86.6632860040568,-80.0,-62.576105187793324,-78.02002756878312,-80.70948835289369,B
-78.5841784989858,-82.0,-57.0,-77.0,-78.7423935091278,B
