D0:B5:C2:91:2A:BA,D0:B5:C2:91:2D:E4,D0:B5:C2:91:24:E7,D0:B5:C2:91:36:BF,class
-87.0,-87.0,-61.0,-63.0,D
-83.0,-95.0,-56.0,-66.0,D
-69.0,-77.0,-66.0,-67.0,D
-77.0,-74.0,-58.0,-68.0,D
-72.0,-73.0,-58.0,-67.0,D
-72.0,-78.0,-73.0,-74.0,D
-78.0,-84.0,-64.0,-62.0,D
-69.0,-78.0,-68.0,-62.0,D
-78.0,-77.0,-64.0,-63.0,D
-64.0,-98.0,-82.0,-59.0,C
-61.0,-80.0,-68.0,-64.0,C
-63.0,-87.0,-68.0,-64.0,C
-65.0,-85.0,-73.0,-68.0,C
-58.0,-85.0,-73.0,-66.0,C
-66.0,-85.0,-74.0,-66.0,C
-56.0,-84.0,-73.0,-65.0,C
-63.0,-84.0,-70.0,-65.0,C
-58.0,-90.0,-78.0,-85.0,C
-69.0,-89.0,-72.0,-68.0,E
-72.0,-80.0,-72.0,-55.0,E
-63.0,-79.0,-75.0,-68.0,E
-67.0,-72.0,-70.0,-65.0,E
-70.0,-86.0,-73.0,-58.0,E
-65.0,-81.0,-68.0,-65.0,E
-63.0,-82.0,-70.0,-62.0,E
-64.0,-85.0,-70.0,-62.0,E
-63.0,-82.0,-78.0,-62.0,E
-66.0,-81.0,-75.0,-69.0,E
-71.0,-80.0,-69.0,-69.0,E
-61.0,-84.0,-85.0,-60.0,E
-79.0,-73.0,-62.0,-70.0,A
-72.0,-80.0,-60.0,-70.0,A
-77.0,-78.0,-65.0,-78.0,A
-72.0,-90.0,-57.0,-82.0,A
-68.0,-82.0,-65.0,-78.0,A
-86.0,-77.0,-59.0,-69.0,A
-70.0,-75.0,-57.0,-70.0,A
-82.0,-88.0,-57.0,-82.0,A
-78.0,-74.0,-63.0,-59.0,A
-66.0,-88.0,-64.0,-63.0,A
-66.0,-92.0,-69.0,-79.0,A
-70.0,-79.0,-73.0,-53.0,F
-70.0,-98.0,-69.0,-52.0,F
-71.0,-78.0,-67.0,-55.0,F
-71.0,-87.0,-71.0,-55.0,F
-71.0,-80.0,-68.0,-55.0,F
-79.0,-80.0,-71.0,-54.0,F
-71.0,-87.0,-67.0,-59.0,F
-75.0,-78.0,-77.0,-52.0,F
-62.0,-90.0,-70.0,-71.0,B
-58.0,-92.0,-70.0,-70.0,B
-58.0,-78.0,-66.0,-63.0,B
-61.0,-90.0,-70.0,-71.0,B
-66.0,-77.0,-70.0,-67.0,B
-67.0,-78.0,-70.0,-61.0,B
-67.0,-77.0,-72.0,-66.0,B
