D0:B5:C2:91:2A:BA,D0:B5:C2:91:29:6D,D0:B5:C2:91:2D:E4,D0:B5:C2:91:24:E7,class
-72.51679984948122,-82.44501204787319,-70.8785827406198,-66.41113939221388,A
-69.32127736784807,-84.3367139959432,-81.1683569979716,-57.5841784989858,A
-83.23732251521298,-82.86081080072975,-76.95123160181593,-54.39876359272948,A
-70.5841784989858,-79.96508205314302,-72.7232710866792,-56.0,A
-78.82150101419879,-75.75859844361113,-74.20433198222187,-51.740368769295095,A
-77.2356415732705,-77.27506955364703,-72.15844838976258,-53.466394846975014,A
-74.0,-86.0,-78.0,-56.505070993914806,A
-71.0,-74.0,-80.0,-63.0,A
-69.37159791943874,-79.03604927947556,-85.82432159993549,-62.33671399594321,A
-68.96766262971046,-84.0,-79.05672322715567,-59.5841784989858,A
-68.85327124416774,-76.45614980309789,-74.89290754405064,-62.599703755605844,A
-69.17160259963671,-75.59327092919067,-75.75157368209327,-62.66328600405679,A
-68.81178178299261,-80.6632860040568,-71.0,-61.93427684367566,A
-72.0,-75.22958751663239,-75.2576064908722,-62.91138260109537,A
-71.12745761391044,-80.7525354969574,-71.9533523836264,-61.43435504713466,A
-81.72402794229677,-84.3367139959432,-83.9107505070994,-61.61318079601338,A
-81.42596348884382,-78.9107505070994,-84.88036772710778,-60.32657200811359,A
-78.3521211633927,-81.95063811869166,-84.46475199285167,-61.67342799188641,A
-83.22949064062193,-77.49492900608519,-85.98985801217039,-59.39889194379814,A
-76.01242750346682,-80.72836718950803,-81.79710495544535,-55.37380159279341,A
-73.89800506082075,-81.1683569979716,-69.1683569979716,-71.98985801217039,B
-77.60942738330355,-91.69116642014963,-68.9419781460425,-67.40733300927678,B
-78.26518085900881,-81.94967944840934,-67.079107505071,-64.14971170517317,B
-79.0,-85.86148613894198,-67.3654364048848,-65.60850899260369,B
-75.59244867324195,-83.05094919999968,-75.26329779238942,-77.45546983699774,B
-79.0,-78.0,-88.0,-79.0,B
-78.0,-81.0,-66.0,-68.5841784989858,B
-81.12743814908222,-80.46735999831559,-68.9107505070994,-67.26178000253043,B
-78.7525354969574,-81.60899314131021,-68.56917398028199,-66.0,B
-78.5525280881265,-87.62553929277045,-71.24910285875569,-65.2308374662312,B
-79.44642778694619,-82.6244555963274,-69.79351639046813,-64.0,B
-78.85356881461693,-83.19320196578852,-80.6632860040568,-67.85242006282992,B
-77.39843396986606,-80.98818596024354,-68.35619531470505,-67.69087652318356,B
-77.80738820178757,-80.82234587315028,-71.58155129526034,-68.36474802753958,B
-77.20044892522361,-74.52199990550687,-75.883956292085,-68.079107505071,B
-75.71239062941011,-81.03330510866498,-74.76271118100077,-69.59081957800079,B
-74.22313616386435,-77.0,-72.22895525555718,-71.0,B
-75.44955351999317,-91.0,-71.1683569979716,-63.0,B
-70.920892494929,-91.4158215010142,-72.8316430020284,-59.0580218539575,B
-69.03304523982604,-89.079107505071,-73.22377999046431,-60.6787311089391,B
-82.93467458309054,-86.0,-63.52156980416706,-78.34066256719407,C
-86.0,-91.0,-60.089249492900606,-83.67342799188641,C
-86.55336478367808,-92.3367139959432,-60.91117293657514,-80.71649659285981,C
-76.49492900608519,-88.0,-65.920892494929,-77.0,C
-77.12104486185353,-88.67342799188641,-61.8316430020284,-75.2322447878817,C
-80.63647251349562,-87.4158215010142,-65.34146084710598,-76.5893695276563,C
-77.9709665664954,-88.44715217030502,-64.32252731744688,-75.5406832681369,C
-80.21982581767635,-91.0,-67.45096556524953,-79.79114362071631,C
-87.22908180515849,-93.24785290915689,-67.69804478220819,-74.5250935949669,C
-87.84626466197572,-90.63639129104959,-63.81662029756865,-77.67626821790114,C
-89.61299947582759,-90.79199741100498,-68.72833981662507,-73.91506062894291,C
-79.49492900608519,-83.0,-73.0,-70.0,C
-81.95863070037498,-85.32657200811359,-68.80566640510156,-72.97278335550986,C
-82.48187763126316,-90.39881456392888,-66.17849898580121,-74.63486116556439,C
-80.0,-92.0,-58.0065390898986,-72.0,C
-80.80408048062579,-94.4158215010142,-58.67747268255312,-73.31039543351673,C
-72.63610338292811,-88.0,-52.0,-72.29957079362339,C
-73.26504021622115,-88.0,-53.0,-76.99229869763316,C
-72.2717199489074,-86.4158215010142,-65.38825047377122,-74.9107505070994,C
-72.57038022660377,-93.0,-61.33671399594321,-76.960243538567,C
-84.6632860040568,-81.80155698142546,-79.77811378573445,-74.0,D
-69.47729222495663,-79.9107505070994,-82.0,-76.7423935091278,D
-71.1683569979716,-82.99229869763316,-81.0,-75.2576064908722,D
-73.14755101178098,-88.0,-89.16511430990685,-74.28439979242818,D
-72.03157230754694,-87.63486116556439,-84.85003278248263,-92.0,D
-69.5841784989858,-82.0,-81.83805440986487,-76.02435385669932,D
-71.09939115358252,-79.03593909142737,-81.4158215010142,-72.84349369258403,D
-72.0,-79.01014198782961,-82.0,-75.10125601253941,D
-71.0,-74.0,-78.0,-77.0,D
-69.44788516592072,-76.8202260043417,-84.44913511551954,-71.25680416112253,D
-69.80121769283497,-76.98985801217039,-80.75555126376263,-78.72009193177693,D
-74.99122580281359,-81.36565246786967,-81.44018386355388,-72.1231712615388,D
-66.13914761501552,-78.44747805396217,-83.96725233062315,-74.45555466219952,D
-62.953024610440245,-78.38981647899615,-72.58703278093625,-72.7232138934731,D
-62.17567840006451,-74.29229820829022,-74.13983490227837,-77.20399439789394,D
-63.730924012947064,-69.60461740989898,-82.29625439140612,-79.36264666747309,D
-60.8316430020284,-69.4158215010142,-83.2576064908722,-80.36103382928108,D
-66.87513309551431,-72.33509241100057,-80.69016865364706,-78.4551443631122,D
-59.75253549695741,-74.0,-90.0,-83.35744526430386,D
-58.75253549695741,-84.0,-89.0,-83.920892494929,D
-72.78282247643267,-73.98459739526632,-79.56392887383574,-67.2474645030426,E
-77.78824339770748,-83.60654812305955,-78.08000552732982,-73.42781595723606,E
-75.43904015683975,-80.9820812936669,-77.32634170996222,-70.65216654392938,E
-73.0,-85.85180580920718,-78.75375992903513,-69.68094566249243,E
-78.82150101419879,-78.99516148542398,-74.8316430020284,-71.5604088734016,E
-79.32127736784807,-77.72368049675417,-78.48189089028271,-68.85798959719367,E
-76.82127080456834,-76.39741901151905,-78.88234345389299,-71.4493481504036,E
-68.41004094808994,-77.4412703867065,-79.54655217048948,-75.21611489037555,E
-64.75532031246469,-74.23938257861786,-81.34260548752395,-74.10050541308055,E
-62.0,-74.0,-78.0,-78.0,E
-78.0,-73.2474645030426,-81.32979840638177,-78.47098907302124,E
-68.0,-71.0,-81.0,-83.0,E
-66.52901092697876,-70.0,-86.0,-83.42596348884382,E
-73.41983032789298,-70.81528120047305,-80.6815990066379,-78.62840208056126,E
-62.42907257751612,-79.83860315898258,-84.73228357552031,-83.05048170770624,E
-67.90060851926978,-79.74319583887747,-92.0892494929006,-74.01540260473368,E
-59.0,-80.0,-86.0,-77.0,E
-67.17531551147131,-79.20003225676385,-92.4158215010142,-75.47222606733712,E
-69.78190674507093,-72.92242821692025,-82.51360832224508,-72.69906841385004,E
-72.36389661707189,-75.45237339372052,-85.91050422911424,-71.52489500531644,E
-73.0,-84.0,-75.0,-65.0,F
-80.78170235071167,-79.0,-70.77811378573445,-72.58578283133744,F
-75.01056409015766,-79.72779323414379,-70.67747268255312,-73.71084358321238,F
-76.89438569937758,-83.0,-71.91601145115116,-77.169286916764,F
-77.85397911370424,-88.78282247643267,-70.01737557449982,-77.85327124416774,F
-69.43947839796029,-74.920892494929,-82.93103448275862,-82.36473922860748,F
-65.47876515723573,-73.71814773585359,-80.06896551724138,-73.5841784989858,F
-65.49472869283684,-75.0,-76.63945983089047,-76.45917503326478,F
-64.0,-75.0,-87.0,-87.0,F
-69.0,-68.0,-79.83847425507035,-77.0,F
-74.0567719043587,-72.0,-74.6632860040568,-77.4450223781299,F
-69.6632860040568,-73.0,-75.0,-82.0,F
-73.8316430020284,-71.7525354969574,-90.0,-80.9107505070994,F
-71.0,-72.3367139959432,-81.308374662312,-85.98985801217039,F
-67.0,-70.0,-86.0,-78.0,F
-66.63610338292811,-71.23355135825575,-84.79177942984175,-74.8946746473077,F
-66.80554600321128,-72.93935781175503,-78.2401990052228,-75.694623760861,F
-66.4787979877378,-77.01056409015766,-82.98985801217039,-73.12374501028185,F
-60.78400317494512,-76.0,-81.00286278779082,-74.2717199489074,F
-65.84178498985801,-84.14846175557437,-82.83488569009315,-67.05330987030403,F
-65.71597919438733,-78.5841784989858,-83.0,-70.8316430020284,G
-68.0,-76.77811378573445,-82.0892494929006,-76.98985801217039,G
-67.5841784989858,-78.89290754405064,-81.84178498985801,-77.17406556187251,G
-65.0,-74.96633200274182,-79.16636425950566,-77.98985801217039,G
-50.0,-82.49492900608519,-77.0,-72.0,G
-51.42191847102939,-77.14048723638284,-85.0,-77.0,G
-50.65276512573802,-73.5841784989858,-83.87860203226525,-72.5841784989858,G
-49.89721386197539,-72.1683569979716,-86.06447320672554,-86.0195153421233,G
-51.0,-75.0,-89.0,-81.0,G
-48.900608846417484,-78.74584459194728,-90.45558646828756,-79.82150101419879,G
-46.628402080561266,-76.0,-89.66529957762424,-82.49492900608519,G
-48.75119297567963,-86.97278335550986,-81.84178498985801,-86.59759687109391,G
-49.288785663506204,-83.19420660677412,-86.5841784989858,-86.48900559603439,G
-49.02721664449014,-80.74576014892304,-86.58528980354681,-88.64505463489375,G
-53.098653365525564,-75.95191278152757,-82.93349756348653,-82.81741418953823,G
-62.09962519142215,-73.38226639021079,-78.41844870473966,-84.99811676863358,G
-60.4158215010142,-74.2474645030426,-80.62070077819443,-86.17849898580121,G
-65.28635942099109,-77.0,-83.08758766516611,-82.51714342271441,G
-58.89707418912093,-72.86416862214935,-85.79990418065759,-77.5841784989858,G
-58.21498057164411,-77.48465357080394,-91.0,-84.77828929318315,G
-79.29681367531003,-70.09341888552821,-74.8865810217683,-73.34975481693807,H
-74.62081120787533,-69.13182160764994,-78.22526951656299,-70.31740299639767,H
-73.0,-73.40478035736636,-84.4386478531411,-81.25239539071542,H
-78.57403651115618,-76.5948943133297,-78.68106124753034,-83.05147812638201,H
-75.55738398171523,-77.08011359068065,-78.78586544366416,-83.85153824442563,H
-73.0,-86.0,-92.0,-81.0,H
-70.4158215010142,-77.60243538566993,-76.27419334784992,-75.0,H
-76.82325780409528,-67.35333252691423,-79.78955694780969,-79.4158215010142,H
-78.1063221701589,-68.07044198591794,-77.50850425431824,-72.8316430020284,H
-73.85757289928316,-68.58578283133744,-77.66878585454525,-82.75097530944731,H
-68.87567783109401,-69.37597901921112,-80.73958772816152,-77.2906355671141,H
-68.079107505071,-72.32844317606306,-77.0,-74.39382578617864,H
-66.0,-78.6632860040568,-85.1683569979716,-80.0,H
-64.00770130236684,-76.79442772395078,-78.9419781460425,-76.19591951937421,H
-66.94409944696322,-74.13912703274187,-77.3175409644716,-76.57933147856942,H
-67.2474645030426,-71.4158215010142,-79.29531067295673,-72.9419781460425,H
-80.7423935091278,-69.3244346663022,-86.0,-82.0,H
-67.72779323414379,-68.95863070037498,-83.079107505071,-81.10709245594936,H
-70.85096138878197,-72.62840208056126,-82.4158215010142,-83.4158215010142,H
-73.86127060701064,-74.63605400635863,-88.24262104030298,-88.85904527132374,H
-79.49537936916724,-72.4728784014416,-83.46328777065442,-80.97205757832346,I
-75.50507099391481,-64.6368015901369,-84.9333848348484,-78.43329241394287,I
-84.50507099391481,-67.37159791943874,-87.0,-90.0,I
-81.0,-64.6632860040568,-88.0,-80.71239062941011,I
-70.0,-63.42060961248932,-89.97464782187795,-86.61589457219897,I
-75.14846175557437,-61.34676738196856,-88.0580218539575,-81.0,I
-63.0,-57.380549171404375,-82.21543486149753,-85.0,I
-67.96508205314302,-61.92048155021771,-85.55504514533291,-90.01540260473368,I
-76.7525354969574,-59.1683569979716,-94.0,-82.0,I
-72.73664630083861,-62.215315193046926,-93.8316430020284,-80.3367139959432,I
-69.7203877946953,-62.11184892228249,-87.8316430020284,-82.57065391727873,I
-70.0,-63.140189665933654,-84.51616868514476,-75.6632860040568,I
-80.31357606548123,-77.36081459372556,-91.29705073700492,-76.75514096467533,I
-72.0,-60.47098907302125,-84.99722903060831,-81.7525354969574,I
-68.22958751663239,-60.12534595673044,-87.73549453651063,-84.09168985121568,I
-67.6632860040568,-65.62840208056126,-87.0,-83.0,I
-84.16048470968116,-59.0,-85.5841784989858,-79.07551492535458,I
-79.0,-65.41885900382697,-85.32697024378398,-78.14971170517317,I
-81.50507099391481,-68.0,-88.0,-79.0,I
-74.10064110318132,-72.0,-80.39194255481223,-78.0892494929006,I
